id;description;date_reception;date_cloture;date_reponse;action;ao;montant
1;Credit Card Account;2019-08-12;2019-08-11;2019-08-12;Re-contextualized;web-enabled invoice withdrawal;bypassing optical
2;installation;2019-08-12;2019-08-11;2019-08-12;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages
3;disintermediate Cambridgeshire hacking;2019-08-11;2019-08-12;2019-08-11;azure;SMS Enhanced;Bacon Designer
4;Equatorial Guinea Vision-oriented;2019-08-12;2019-08-11;2019-08-11;Human deposit;even-keeled Saint Helena Pound;Internal AI optical
5;bypassing Marketing;2019-08-11;2019-08-11;2019-08-11;Alabama transform;invoice Home Gloves;Buckinghamshire Ports
6;Devolved driver Networked;2019-08-12;2019-08-12;2019-08-11;payment calculating;local area network Benin;turn-key dedicated
7;Wisconsin;2019-08-11;2019-08-12;2019-08-11;Investor users dot-com;North Dakota Cambridgeshire;Re-contextualized
8;local Shoes;2019-08-11;2019-08-12;2019-08-12;Applications Response Human;back up Factors;architectures
9;Wisconsin Facilitator Incredible;2019-08-12;2019-08-12;2019-08-12;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha
10;Concrete Bedfordshire;2019-08-11;2019-08-12;2019-08-11;Belize Dollar Sudanese Pound real-time;protocol;open-source HDD
